ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1451.69403363534,-1373.6572866566771,4298.6186833676,1451.69403363534,1451.69403363534,96.3423592163521,96.3423592163521,96.3423592163521,419.7313386404351,419.7313386404351,419.7313386404351,-323.388979424083,-323.388979424083,-323.388979424083,0.0,0.0,0.0,1548.0363928516922
2014-01-04,1451.8121780342549,-1553.84830277146,3695.607249666579,1451.8121780342549,1451.8121780342549,-399.1199504702802,-399.1199504702802,-399.1199504702802,21.36649982518325,21.36649982518325,21.36649982518325,-420.48645029546344,-420.48645029546344,-420.48645029546344,0.0,0.0,0.0,1052.6922275639747
2014-01-05,1451.93032243317,-1564.278687366896,3975.416588199672,1451.93032243317,1451.93032243317,-307.4163165123933,-307.4163165123933,-307.4163165123933,203.6129602756252,203.6129602756252,203.6129602756252,-511.02927678801854,-511.02927678801854,-511.02927678801854,0.0,0.0,0.0,1144.5140059207768
2014-01-06,1452.0484668320848,-1595.1725778776681,4002.9779415018866,1452.0484668320848,1452.0484668320848,-182.19978862243786,-182.19978862243786,-182.19978862243786,411.6149411056158,411.6149411056158,411.6149411056158,-593.8147297280536,-593.8147297280536,-593.8147297280536,0.0,0.0,0.0,1269.848678209647
2014-01-07,1452.1666112309997,-2152.043641556573,3479.038890124759,1452.1666112309997,1452.1666112309997,-839.7949392545754,-839.7949392545754,-839.7949392545754,-172.00787204943103,-172.00787204943103,-172.00787204943103,-667.7870672051444,-667.7870672051444,-667.7870672051444,0.0,0.0,0.0,612.3716719764243
2014-01-09,1452.4029000288297,-2088.845365375399,3557.608751699564,1452.4029000288297,1452.4029000288297,-629.8797916447188,-629.8797916447188,-629.8797916447188,156.07468268949648,156.07468268949648,156.07468268949648,-785.9544743342152,-785.9544743342152,-785.9544743342152,0.0,0.0,0.0,822.5231083841109
2014-01-10,1452.5210444277445,-1640.2371230869126,3902.0704900735764,1452.5210444277445,1452.5210444277445,-409.2533379043154,-409.2533379043154,-409.2533379043154,419.73133864094973,419.73133864094973,419.73133864094973,-828.9846765452652,-828.9846765452652,-828.9846765452652,0.0,0.0,0.0,1043.267706523429
2014-01-11,1452.6391888266596,-2245.148588647201,3293.5617688647535,1452.6391888266596,1452.6391888266596,-839.5361266951386,-839.5361266951386,-839.5361266951386,21.366499825779808,21.366499825779808,21.366499825779808,-860.9026265209184,-860.9026265209184,-860.9026265209184,0.0,0.0,0.0,613.103062131521
2014-01-13,1452.8754776244896,-1774.532139356365,3709.22669733335,1452.8754776244896,1452.8754776244896,-479.9493936182678,-479.9493936182678,-479.9493936182678,411.61494110526286,411.61494110526286,411.61494110526286,-891.5643347235307,-891.5643347235307,-891.5643347235307,0.0,0.0,0.0,972.9260840062218
2014-01-14,1452.9936220234044,-2383.1513681305933,3107.143677825667,1452.9936220234044,1452.9936220234044,-1062.9824934629776,-1062.9824934629776,-1062.9824934629776,-172.00787205059385,-172.00787205059385,-172.00787205059385,-890.9746214123837,-890.9746214123837,-890.9746214123837,0.0,0.0,0.0,390.01112856042687
2014-01-15,1453.1117664223195,-3142.1780052758954,2423.9919551547914,1453.1117664223195,1453.1117664223195,-1920.9865007786682,-1920.9865007786682,-1920.9865007786682,-1040.392550490044,-1040.392550490044,-1040.392550490044,-880.5939502886242,-880.5939502886242,-880.5939502886242,0.0,0.0,0.0,-467.87473435634865
2014-01-16,1453.2299108212344,-2120.5427075612683,3562.32675039346,1453.2299108212344,1453.2299108212344,-705.2301704842672,-705.2301704842672,-705.2301704842672,156.07468268958408,156.07468268958408,156.07468268958408,-861.3048531738514,-861.3048531738514,-861.3048531738514,0.0,0.0,0.0,747.9997403369672
2014-01-18,1453.4661996190641,-2087.545581700115,3527.2660453003823,1453.4661996190641,1453.4661996190641,-779.0934386199018,-779.0934386199018,-779.0934386199018,21.366499824879455,21.366499824879455,21.366499824879455,-800.4599384447813,-800.4599384447813,-800.4599384447813,0.0,0.0,0.0,674.3727609991623
2014-01-19,1453.5843440179792,-1785.47436205382,3553.9847815369567,1453.5843440179792,1453.5843440179792,-557.9089979870711,-557.9089979870711,-557.9089979870711,203.6129602759086,203.6129602759086,203.6129602759086,-761.5219582629796,-761.5219582629796,-761.5219582629796,0.0,0.0,0.0,895.6753460309081
2014-01-20,1453.702488416894,-1546.6327384043484,3980.985523253067,1453.702488416894,1453.702488416894,-307.2367097174343,-307.2367097174343,-307.2367097174343,411.6149411062,411.6149411062,411.6149411062,-718.8516508236343,-718.8516508236343,-718.8516508236343,0.0,0.0,0.0,1146.4657786994599
